city,latitude,longitude,timestamp,aqi,pm2_5,pm10,no2,o3,co,so2,nh3,aqi_category,cluster_id,new_category,bmkg_normalized
Jakarta,-6.2088,106.8456,2026-04-04T08:05:33.851892,2,13.04,15.01,1.6,54.88,203.42,0.67,1.86,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-04T08:05:34.040681,2,13.23,16.02,2.54,61.74,268.89,1.07,1.33,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-04T08:05:34.229372,1,5.41,6.65,0.62,44.16,154.4,0.25,0.41,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-04T08:05:34.409311,1,0.5,0.74,0.13,10.86,96.39,0.02,0.56,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-04T08:05:34.589814,2,11.64,13.64,2.45,57.23,303.37,2.13,0.7,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-04T08:05:34.777001,1,1.84,3.16,0.12,37.29,86.32,0.11,0.08,Baik,1,Baru_Baik,Baru_Baik
Palembang,-2.9761,104.7754,2026-04-04T08:05:34.963419,1,5.32,5.75,0.46,46.62,251.49,0.16,0.16,Baik,1,Baru_Baik,Baru_Baik
Tangerang,-6.1702,106.6402,2026-04-04T08:05:35.141968,2,18.13,20.18,1.75,65.69,258.76,0.84,1.81,Sedang,1,Baru_Baik,Baru_Sedang
Depok,-6.4025,106.7942,2026-04-04T08:05:35.320547,1,8.56,9.87,0.69,42.06,139.2,0.34,0.68,Baik,1,Baru_Baik,Baru_Baik
Bekasi,-6.2383,106.9756,2026-04-04T08:05:35.511444,2,13.04,15.01,1.6,54.88,203.42,0.67,1.86,Baik,1,Baru_Baik,Baru_Baik
Jakarta,-6.2088,106.8456,2026-04-04T08:18:42.293629,2,13.04,15.01,1.6,54.88,203.42,0.67,1.86,Baik,1,Baru_Baik,Baru_Baik
Surabaya,-7.2575,112.7521,2026-04-04T08:18:42.475252,2,13.23,16.02,2.54,61.74,268.89,1.07,1.33,Baik,1,Baru_Baik,Baru_Baik
Bandung,-6.9175,107.6191,2026-04-04T08:18:42.654051,1,5.41,6.65,0.62,44.16,154.4,0.25,0.41,Baik,1,Baru_Baik,Baru_Baik
Medan,3.5952,98.6722,2026-04-04T08:18:42.835555,1,0.5,0.74,0.13,10.86,96.39,0.02,0.56,Baik,1,Baru_Baik,Baru_Baik
Semarang,-6.9932,110.4203,2026-04-04T08:18:43.013035,2,11.64,13.64,2.45,57.23,303.37,2.13,0.7,Baik,1,Baru_Baik,Baru_Baik
Makassar,-5.1477,119.4327,2026-04-04T08:18:43.192550,1,1.84,3.16,0.12,37.29,86.32,0.11,0.08,Baik,1,Baru_Baik,Baru_Baik
